GENUS,SPECIES,FAMILY,SP,SG100C_AVG,SG100C_SEM,SG100C_N
Hirtella,triandra,Chrysobalana,HIRTTR,0.606175461,0.016789626,3
Hybanthus,prunifolius,Violaceae,HYBAPR,0.580445494,0.012542019,5
Hieronyma,alchorneoide,Euphorbiacea,HYERAL,0.584981498,0.011446755,10
Inga,cocleensis,Fabaceae:Mim,INGACO,0.666574415,0.020543443,9
Inga,laurina,Fabaceae:Mim,INGAFA,0.675619396,0.018396453,7
Inga,goldmanii,Fabaceae:Mim,INGAGO,0.557092339,0.045183395,5
Inga,marginata,Fabaceae:Mim,INGAMA,0.485748274,0.010460248,6
Inga,pezizifera,Fabaceae:Mim,INGAPE,0.512244739,0.023716663,6
Inga,punctata,Fabaceae:Mim,INGAPU,0.500448708,0.045962814,6
Inga,nobilis,Fabaceae:Mim,INGAQU,0.644915862,0.022278401,5
Inga,acuminata,Fabaceae:Mim,INGAS1,0.321315789,NA,1
Inga,sapindoides,Fabaceae:Mim,INGASA,0.61227693,0.035042692,6
Inga,spectabilis,Fabaceae:Mim,INGASP,0.500803577,0.025752467,5
Inga,thibaudiana,Fabaceae:Mim,INGATH,0.494264635,0.048642683,5
Inga,umbellifera,Fabaceae:Mim,INGAUM,0.664721724,0.036030321,6
Jacaranda,copaia,Bignoniaceae,JAC1CO,0.374366496,0.008672311,5
Lacistema,aggregatum,Flacourtiace,LACIAG,0.557674722,0.027961875,5
Lacmellea,panamensis,Apocynaceae,LACMPA,0.502221027,0.009040476,7
Laetia,procera,Flacourtiace,LAETPR,0.577446594,0.011198326,5
Laetia,thamnia,Flacourtiace,LAETTH,0.726633857,0.010154871,6
Licania,hypoleuca,Chrysobalana,LICAHY,0.835924446,0.019923448,9
Licania,platypus,Chrysobalana,LICAPL,0.681527318,NA,1
Lindackeria,laurina,Flacourtiace,LINDLA,0.693259135,0.01229738,5
Lonchocarpus,heptaphyllus,Fabaceae:Pap,LONCLA,0.666150017,0.022283248,6
Luehea,seemannii,Tiliaceae,LUEHSE,0.571630422,0.019560619,5
Macrocnemum,roseum,Rubiaceae,MACRGL,0.514268281,0.008226894,5
Mosannona,garwoodii,Annonaceae,MALMSP,0.729503564,0.011446371,5
Maquira,guianensis,Moraceae,MAQUCO,0.643463725,0.030349883,7
Marila,laxiflora,Clusiaceae,MAR1LA,0.672906679,0.015593303,5
Maytenus,schippii,Celastraceae,MAYTSC,0.743754107,0.016906848,5
Miconia,affinis,Melastomatac,MICOAF,0.570413915,0.017300412,5
Miconia,argentea,Melastomatac,MICOAR,0.696562594,0.008550335,5
Miconia,elata,Melastomatac,MICOEL,0.69720642,0.03052333,5
Miconia,hondurensis,Melastomatac,MICOHO,0.589611472,0.004724314,4
Miconia,nervosa,Melastomatac,MICONE,0.47632964,NA,1
Mouriri,myrtilloides,Melastomatac,MOURMY,0.788029779,0.016568111,5
Myrcia,gatunensis,Myrtaceae,MYRCGA,0.658500333,0.011355202,5
Myrospermum,frutescens,Fabaceae:Pap,MYROFR,0.874846019,0.015195894,3
Nectandra,cissiflora,Lauraceae,NECTCI,0.421057446,0.029326126,3
Nectandra,lineata,Lauraceae,NECTGL,0.360426536,0.011821931,4
Nectandra,purpurea,Lauraceae,NECTPU,0.51347036,0.03419629,8
Ocotea,cernua,Lauraceae,OCOTCE,0.610495929,0.006780461,4
Ocotea,oblonga,Lauraceae,OCOTOB,0.391162516,0.017866898,9
Ocotea,puberula,Lauraceae,OCOTPU,0.389102896,0.01444497,5
Ocotea,whitei,Lauraceae,OCOTWH,0.426338778,NA,1
Trophis,caucana,Moraceae,OLMEAS,0.475464913,0.033098754,5
Ormosia,coccinea,Fabaceae:Pap,ORMOCR,0.622173181,0.022170377,9
Ormosia,macrocalyx,Fabaceae:Pap,ORMOMA,0.649869585,0.024444943,5
Ouratea,lucens,Ochnaceae,OURALU,0.802322762,0.009960891,5
Palicourea,guianensis,Rubiaceae,PALIGU,0.319528354,0.044925552,4
Pentagonia,macrophylla,Rubiaceae,PENTMA,0.454377134,0.02691244,6
Perebea,xanthochyma,Moraceae,PEREXA,0.622942733,0.011324146,8
Cinnamomum,triplinerve,Lauraceae,PHOECI,0.523751809,0.01103627,9
Picramnia,latifolia,Simaroubacea,PICRLA,0.698526003,0.014975143,7
Piper,aequale,Piperaceae,PIPEAE,0.436323164,0.037786743,5
Piper,cordulatum,Piperaceae,PIPECO,0.373149562,0.016748086,4
Piper,perlasense,Piperaceae,PIPEPE,0.487719821,NA,1
Piper,reticulatum,Piperaceae,PIPERE,0.292785407,0.060762235,6
Platymiscium,pinnatum,Fabaceae:Pap,PLA1PI,0.760593927,0.021257547,8
Platypodium,elegans,Fabaceae:Pap,PLA2EL,0.702509127,0.026264044,5
Pachira,sessilis,Bombacaceae,POCHSE,0.475417008,0.049142182,5
Posoqueria,latifolia,Rubiaceae,POSOLA,0.640987889,0.010066191,5
Poulsenia,armata,Moraceae,POULAR,0.315328296,0.033223023,10
Pourouma,bicolor,Cecropiaceae,POURBI,0.357420061,0.029644935,5
Pouteria,reticulata,Sapotaceae,POUTRE,0.760806421,NA,1
Prioria,copaifera,Fabaceae:Cae,PRI2CO,0.391034007,0.010261755,4
Protium,costaricense,Burseraceae,PROTCO,0.452363394,0.025844931,7
Protium,panamense,Burseraceae,PROTPA,0.446987105,0.049735028,4
Protium,tenuifolium,Burseraceae,PROTTE,0.586264214,0.015440416,5
Pseudobombax,septenatum,Bombacaceae,PSE1SE,0.295551095,0.072856107,4
Psidium,friedrichsth,Myrtaceae,PSIDFR,0.737368862,0.009339946,3
Psychotria,deflexa,Rubiaceae,PSYCDE,0.548433732,0.029287255,3
Psychotria,grandis,Rubiaceae,PSYCG3,0.502394858,0.009442328,5
Psychotria,horizontalis,Rubiaceae,PSYCHO,0.646169179,0.024459252,6
Psychotria,marginata,Rubiaceae,PSYCMA,0.58950007,0.016600405,4
Pterocarpus,rohrii,Fabaceae:Pap,PTERRO,0.49569201,0.019165324,2
Quararibea,asterolepis,Bombacaceae,QUARAS,0.468114661,0.033083106,5
Quassia,amara,Simaroubacea,QUASAM,0.526503508,0.011078038,5
Randia,armata,Rubiaceae,RANDAR,0.642794245,0.024407624,5
Rinorea,sylvatica,Violaceae,RINOSY,0.673176527,0.021823997,4
Sapium,glandulosum,Euphorbiacea,SAPIAU,0.50156732,0.027211974,6
Schizolobium,parahyba,Fabaceae:Cae,SCHIPA,0.49026262,0.056311501,6
Senna,dariensis,Fabaceae:Cae,SENNDA,0.494765154,0.047458424,4
Simarouba,amara,Simaroubacea,SIMAAM,0.389849281,0.025273312,7
Siparuna,pauciflora,Monimiaceae,SIPAPA,0.45756465,0.007715165,5
Sloanea,terniflora,Elaeocarpace,SLOATE,0.814739155,0.006901023,3
Solanum,hayesii,Solanaceae,SOLAHA,0.406959919,0.011455781,5
Sorocea,affinis,Moraceae,SOROAF,0.645791121,0.018207361,5
Spondias,mombin,Anacardiacea,SPONMO,0.423442397,0.025690599,5
Spondias,radlkoferi,Anacardiacea,SPONRA,0.362772143,0.024126753,3
Sterculia,apetala,Sterculiacea,STERAP,0.439252787,0.038867911,5
Stylogyne,turbacensis,Myrsinaceae,STYLST,0.569245822,0.013442507,5
Swartzia,simplex_var.,Fabaceae:Pap,SWARS1,0.77270353,0.02405512,7
Swartzia,simplex_var.,Fabaceae:Pap,SWARS2,0.783510667,0.023867428,5
Symphonia,globulifera,Clusiaceae,SYMPGL,0.54475073,0.011118106,8
Tabebuia,guayacan,Bignoniaceae,TAB1GU,0.789818795,0.034462763,5
Tabebuia,rosea,Bignoniaceae,TAB1RO,0.488671865,0.030019539,5
Tabernaemont,arborea,Apocynaceae,TAB2AR,0.537870046,0.016718365,6
Tachigali,versicolor,Fabaceae:Cae,TACHVE,0.582163046,0.047088022,5
Talisia,nervosa,Sapindaceae,TALINE,0.663137474,0.059467545,3
Talisia,princeps,Sapindaceae,TALIPR,0.725307436,0.028663381,5
Terminalia,amazonia,Combretaceae,TERMAM,0.665053959,0.024771872,5
Terminalia,oblonga,Combretaceae,TERMOB,0.634250897,0.057944247,5
Tetragastris,panamensis,Burseraceae,TET2PA,0.588927298,0.037610017,5
Thevetia,ahouai,Apocynaceae,THEVAH,0.45702219,0.01029317,5
Trattinnicki,aspera,Burseraceae,TRATAS,0.438656897,0.023975461,4
Trema,micrantha,Ulmaceae,TREMMI,0.402906778,0.058693254,4
Trichilia,pallida,Meliaceae,TRI2PA,0.57316595,0.015461967,5
Trichilia,tuberculata,Meliaceae,TRI2TU,0.691552827,0.068229487,5
Triplaris,cumingiana,Polygonaceae,TRIPCU,0.528769755,0.055750049,5
Trophis,racemosa,Moraceae,TROPRA,0.631037454,0.011411307,5
Turpinia,occidentalis,Staphyleacea,TURPOC,0.406660348,0.015699616,6
Unonopsis,pittieri,Annonaceae,UNONPI,0.42829045,0.012872164,2
Virola,sebifera,Myristicacea,VIROSE,0.487343249,0.009427965,4
Virola,multiflora,Myristicacea,VIROSP,0.447981976,0.013804876,10
Virola,surinamensis,Myristicacea,VIROSU,0.407319298,0.036372231,3
Vismia,baccifera,Clusiaceae,VISMBA,0.531295827,0.024102593,6
Vochysia,ferruginea,Vochysiaceae,VOCHFE,0.388750068,0.008550079,9
Xylopia,macrantha,Annonaceae,XYL1MA,0.840426465,0.012547593,9
Zanthoxylum,ekmanii,Rutaceae,ZANTBE,0.435442308,0.011474774,5
Zanthoxylum,panamense,Rutaceae,ZANTP1,0.55206339,0.037734164,5
Zanthoxylum,acuminatum,Rutaceae,ZANTPR,0.579137381,0.014675927,7
Zuelania,guidonia,Flacourtiace,ZUELGU,0.618291782,0.00579262,8
